,artist,cp,section,song
0,Bloodhound Gang,"1,5,4,6",Intro and Verse,The Bad Touch
1,Britney Spears,"1,5,4,6",Verse,Out From Under
2,Cascada,"1,5,4,6",Verse,Every Time We Touch
3,Dire Straits,"1,5,4,6",Chorus,Sultans of Swing
4,Pink,"1,5,4,6",Chorus,Raise Your Glass
5,Rihanna,"1,5,4,6",Chorus,Disturbia
6,Rihanna,"1,5,4,6",Pre-Chorus,Disturbia
7,Avicii,"1,5,4,6",Intro,Levels
8,Nicki Minaj,"1,5,4,6",Chorus,Starships
9,Nicki Minaj,"1,5,4,6",Pre-Chorus,Starships
10,Taylor Swift,"1,5,4,6",Chorus,Red
11,Taylor Swift,"1,5,4,6",Chorus,22
12,Jonas Brothers,"1,5,4,6",Verse,Burnin up
13,Jonas Brothers,"1,5,4,6",Chorus,Burnin up
14,Pink,"1,5,4,6",Verse,Raise Your Glass
15,Pink,"1,5,4,6",Pre-Chorus,Raise Your Glass
16,James Morrison ft Nelly Furtado,"1,5,4,6",Chorus,Broken Strings
17,The Cars,"1,5,4,6",Chorus,Just What I Needed
18,Skrillex,"1,5,4,6",Verse and Pre-Chorus,Cinema Remix
19,Kelly Clarkson,"1,5,4,6",Verse and Pre-Chorus,Behind These Hazel Eyes
20,Adam Lambert,"1,4,5",Chorus,Whataya Want from Me
21,Augustana,"1,4,5",Verse,Boston
22,Ayaka Hirahara,"1,4,5",Verse,Jupiter
23,Blues Traveler,"1,4,5",Verse,Hook
24,Bob Dylan,"1,4,5",Chorus,Like A Rolling Stone
25,Bon Jovi,"1,4,5",Chorus,Who says you can't go home
26,Bruno Mars,"1,4,5",Chorus,When I Was Your Man
27,Counting Crows,"1,4,5",Verse,Round Here
28,deadmau5,"1,4,5",Intro,The Veldt
29,Diana Ross,"1,4,5",Verse,If We Hold On Together
30,Dire Straits,"1,4,5",Chorus,Money For Nothing
31,Dire Straits,"1,4,5",Verse,Skateaway
32,Disney,"1,4,5",Chorus,Can You Feel The Love Tonight
33,Green Day,"1,4,5",Chorus,Basketcase
34,Guns N' Roses,"1,4,5",Outro 2,November Rain
35,John Denver,"1,4,5",Verse,Annie's Song
36,John Mayer,"1,4,5",Chorus,Walt Graces Submarine Test January 1967
37,Katy Perry,"1,4,5",Chorus,ET
38,Konami,"1,4,5",Intro,Morning Music
39,Labrinth feat Emeli Sande,"1,4,5",Chorus,Beneath Your Beautiful
40,Black Eyed Peas,"1,4,6,5",Chorus,Just Can't Get Enough
41,Counting Crows,"1,4,6,5",Chorus,Anna Begins
42,Daughtry,"1,4,6,5",Chorus,Home
43,Daughtry,"1,4,6,5",Pre-Chorus,Home
44,Daughtry,"1,4,6,5",Verse,Home
45,Demi Lovato,"1,4,6,5",Chorus,Skyscraper
46,Demi Lovato,"1,4,6,5",Intro,Skyscraper
47,Fine Young Cannibals,"1,4,6,5",Chorus,She Drives Me Crazy
48,K'naan,"1,4,6,5",Chorus,World Cup Theme
49,K'naan,"1,4,6,5",Verse,World Cup Theme
50,Kelly Clarkson,"1,4,6,5",Verse,Breakaway
51,One Direction,"1,4,6,5",Chorus,What Makes You Beautiful
52,Taio Cruz,"1,4,6,5",Chorus,Dynamite
53,Taio Cruz,"1,4,6,5",Pre-Chorus,Dynamite
54,Taylor Swift,"1,4,6,5",Verse,Stay Stay Stay
55,Taylor Swift,"1,4,6,5",Chorus,Stay Stay Stay
56,Cher Lloyd feat Becky G,"1,4,6,5",Chorus,Oath
57,Wiz Khalifa,"1,4,6,5",Chorus,No Sleep
58,Matchbox 20,"1,4,6,5",Intro,Unwell
59,Boston,"1,4,6,5",Pre-Chorus,More Than A Feeling
60,Adele,"6,4,1,5",Chorus,Someone Like You
61,Avril Lavigne,"6,4,1,5",Chorus,Girlfriend
62,Bruno Mars,"6,4,1,5",Chorus,Grenade
63,Carly Rae Jepsen,"6,4,1,5",Chorus,Call Me Maybe
64,Carrie Underwood,"6,4,1,5",Chorus,So Small
65,Carrie Underwood,"6,4,1,5",Verse,So Small
66,Cascada,"6,4,1,5",Chorus,Every Time We Touch
67,Cascada,"6,4,1,5",Verse,Every Time We Touch
68,Cheryl Cole,"6,4,1,5",Chorus,Parachute
69,Cheryl Cole,"6,4,1,5",Verse,Parachute
70,Demi Lovato,"6,4,1,5",Intro,Skyscraper
71,Flo Rida,"6,4,1,5",Instrumental,Whistle
72,Jason Mraz,"6,4,1,5",Verse,I'm Yours
73,Kelly Clarkson,"6,4,1,5",Verse,Already Gone
74,Lady Gaga,"6,4,1,5",Chorus,The Edge Of Glory
75,Maroon 5,"6,4,1,5",Chorus,Never gonna leave this bed
76,Maroon 5,"6,4,1,5",Chorus,She Will Be Loved
77,Matchbox 20,"6,4,1,5",Verse,Real World
78,NOFX,"6,4,1,5",Chorus,Please Play This Song On The Radio
79,Of Monsters And Men,"6,4,1,5",Chorus,Little Talks
80,Bare Naked Ladies,"1,6,4,5",Verse,Big Bang Theory Theme Song
81,Braid Soundtrack,"1,6,4,5",Chorus,Downstream
82,Justin Bieber,"1,6,4,5",Verse,Baby
83,Leonard Cohen,"1,6,4,5",Verse,Hallelujah
84,Pink Floyd,"1,6,4,5",Bridge,The Thin Ice
85,Pink Floyd,"1,6,4,5",Intro and Verse,The Thin Ice
86,Ricky Nelson,"1,6,4,5",Chorus,Poor Little Fool
87,Sam Cooke,"1,6,4,5",Chorus,Wonderful World
88,Sha Na Na,"1,6,4,5",Chorus,Those Magic Changes - Grease
89,Taylor Swift,"1,6,4,5",Chorus,Starlight
90,Ace Of Base,"1,6,4,5",Chorus,I Saw The Sign
91,Avril Lavigne,"1,6,4,5",Verse,Complicated
92,Jeff Buckley,"1,6,4,5",Verse,Hallelujah
93,The Police,"1,6,4,5",Intro,Every Breath You Take
94,Perfume,"1,6,4,5",Chorus,Chocolate Disco
95,Kaoma,"1,6,4,5",Verse,Lambada
96,Van Morrison,"1,6,4,5",Pre-Chorus,Brown Eyed Girl
97,Elton John,"1,6,4,5",Bridge,Crocodile Rock
98,Whitney Houston,"1,6,4,5",Chorus,I Will Always Love You
99,Fall Out Boy,"1,6,4,5",Chorus,I'm Like A Lawyer
